_id,year_month,service_name,program_or_facility,neighborhood,address,latitude,longitude,organization,category,recommended_for,requirements,phone,narrative,schedule,holiday_exception
4875,201911,Kids' Summer Meals - Beechview Spray Park,Kid's Summer Meals - Beechview Spray Park,Beechview,"1200 Orangewood Ave, PA, 15216",40.414878,-80.019044,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Lunch: 11am - 1pm; Supper: 2pm - 3pm,Closed during date: 2019/07/04; 
4876,201911,Kids' Summer Meals - Brookline Rec Center,Kid's Summer Meals - Brookline Rec Center,Brookline,"1400 Oakridge Street, PA, 15226",40.391213,-80.008468,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Breakfast: 9am - 9:30am; Lunch: 11am - 1pm,Closed during date: 2019/07/04; 
4877,201911,Kids' Summer Meals - Fowler Swimming Pool,Kid's Summer Meals - Fowler Pool,Perry South,"2438 Wilson Ave, PA, 15214",40.468871,-80.013787,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 2 - no requirements, just show up!",Mon - Fri; June 17 - August 2; Lunch: noon - 1pm; Supper: 2pm - 3pm,Closed during date: 2019/07/04; 
4878,201911,Kids' Summer Meals - Homewood Church of God,Kid's Summer Meals - Homewood Church of God,Homewood,"7146 Idlewild St, PA, 15208",40.458095,-79.896188,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 16 - no requirements, just show up!",Mon - Fri; June 17 - August 16; Breakfast: 8:30am - 9:30am; Lunch: noon - 1pm,Closed during date: 2019/07/04; 
4879,201911,Kids' Summer Meals - Mellon Park Spray Park,Kid's Summer Meals - Mellon Park Spray Park,Shadyside,"Fifth Ave at Beechwood Blvd, PA, 15206",40.454051,-79.915654,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Lunch: noon - 1pm,Closed during date: 2019/07/04; 
4880,201911,Kids' Summer Meals - Moore Park,Kid's Summer Meals - Moore Park,Brookline,"1801 Pioneer Ave, PA, 15226",40.405497,-80.014715,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Lunch: 11am - 1pm; Supper: 2pm - 3pm,Closed during date: 2019/07/04; 
4881,201911,Kids' Summer Meals - North Side Coalition for Fair Housing,Kid's Summer Meals - North Side Coalition for Fair Housing,North Side,"1821 Brighton Rd, PA, 15212",40.460117,-80.01804,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting  June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Lunch: 11am - 1pm,Closed during date: 2019/07/04; 
4882,201911,Kids' Summer Meals - Northview Heights Gym,Kid's Summer Meals - Northview Heights Gym,Northview Heights,"533 Mt Pleasant Rd, PA, 15214",40.478375,-79.999968,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Breakfast: 8:30am - 9:30am; Lunch: noon - 1pm,Closed during date: 2019/07/04; 
4883,201911,Kids' Summer Meals - Ream Swimming Pool,Ream Pool,Mt Washington,"321 Merrimac St, PA, 15211",40.431143,-80.013554,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through  August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Lunch: 11am - 1pm; Supper: 2pm - 3pm,Closed during date: 2019/07/04; 
4884,201911,Kids' Summer Meals - Anderson Playground,Kid's Summer Meals - Anderson Playground,Schenley Park,"Blvd of the Allies at Panther Hollow Rd, PA, 15213",40.435551,-79.947594,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Lunch: noon - 1pm,Closed during date: 2019/07/04; 
4885,201911,Kids' Summer Meals - St. Andrew Lutheran Church,Kid's Summer Meals - St. Andrew Lutheran Church,East Carnegie,"218 Alter St, PA, 15106",40.415046,-80.075055,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 2 - no requirements, just show up!",Mon - Fri; June 17 - August 2; Lunch: 11am - 1pm; Supper: 2pm - 3pm,
4886,201911,Kids' Summer Meals - Three Rivers Manor,Kid's Summer Meals - Three Rivers Manor,Spring Hill - City View,"125 Rhine Pl, PA, 15212",40.467094,-79.993613,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting  June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Lunch: 11am - 1pm; Supper: 3pm - 4pm,Closed during date: 2019/07/04; 
4887,201911,Kids' Summer Meals - Community Empowerment Association,Kid's Summer Meals - Community Empowerment,Homewood,"7120 Kelly St, PA, 15208",40.455664,-79.897996,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Breakfast: 9 - 10am; Lunch: noon - 1pm,Closed during date: 2019/07/04; 
4888,201911,Kids' Summer Meals - Garfield Jubilee,Kid's Summer Meals - Garfield Jubilee,Garfield,"5323 Penn Ave, PA, 15224",40.464806,-79.938273,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 24 through August 23 - no requirements, just show up!",Mon - Fri; June 24 - August 23; Breakfast: 9am - 10am; Lunch: noon - 1:30pm,Closed during date: 2019/07/04; 
4889,201911,Kids' Summer Meals - Homewood-Brushton YMCA,Kid's Summer Meals - Homewood-Brushton YMCA,Homewood,"7140 Bennett St, PA, 15208",40.456671,-79.898123,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Breakfast: 8am - 9am; Lunch: noon - 1pm,Closed during date: 2019/07/04; 
4890,201911,Kids' Summer Meals - Life'sWork of Western PA,Kid's Summer Meals - LifeWorks of Western PA,Uptown,"1323 Forbes Ave, PA, 15219",40.43794,-79.987441,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 24 through August 2 - no requirements, just show up!",Mon - Fri; June 24 - August 2; Breakfast: 9:15am - 10:15am; Lunch: noon - 2pm,Closed during date: 2019/07/04; 
4891,201911,Kids' Summer Meals - The Open Door,Kid's Summer Meals - The Open Door,Crafton Heights,"12 Stratmore Ave, PA, 15205",40.438165,-80.055847,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through July 26 - no requirements, just show up!",Mon - Fri; June 17 - July 26; Breakfast: 8:30 - 9am; Lunch: noon - 1pm,Closed during date: 2019/07/04; 
4892,201911,Kids' Summer Meals - Valley View Presbyterian Church,Kid's Summer Meals - Valley View Prebyterian Church,Garfield,"604 N Aiken Ave, PA, 15206",40.470857,-79.932807,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids Mondays through Thursdays starting June 24 through July 25 - no requirements, just show up!",Mon - Thu; June 24 - July 25; Breakfast: 9am - 10am; Lunch: 12 - 1pm,Closed during date: 2019/07/04; 
4893,201911,Kids' Summer Meals - Bethany House Ministry,Kid's Summer Meals - Bethany House Ministry,Northview Heights,"1500 Chicago St, PA, 15214",40.479423,-79.998413,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids Mondays through Thursdays, starting  June 24 through August 1 - no requirements, just show up!",Mon - Thu; June 24 - August 1; Breakfast: 9am - 10am ; Lunch: noon - 2pm,Closed during date: 2019/07/04; 
4894,201911,Kids' Summer Meals - Elderado Center,Kid's Summer Meals - Elderado Center,Beltzhoover,"900 Delmont Ave, PA, 15210",40.413851,-80.004066,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Breakfast: 8:30am - 9:30am; Lunch: 11:30am - 1:30pm,Closed during date: 2019/07/04; 
4895,201911,Kids' Summer Meals - Grace Memorial Church,Kid's Summer Meals - Grace Memorial Church,Upper Hill,"1000 Bryn Mawr Rd, PA, 15219",40.451315,-79.957184,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 24 through August 9 - no requirements, just show up!",Mon - Fri; June 24 - August 9; Breakfast: 8:30am - 9:30am; Lunch: noon - 2pm,Closed during date: 2019/07/04; 
4896,201911,Kids' Summer Meals - Jeron X Grayson Center,Jeron X Grayson Center,Hill District,"1852 Enoch St, PA, 15219",40.444329,-79.983519,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on Mondays through Thursdays, starting June 24 through August 8 - no requirements, just show up!",Mon - Thu; June 24 - August 8; Breakfast: 9am - 10am; Lunch: noon - 2pm,Closed during date: 2019/07/04; 
4897,201911,Kids' Summer Meals - Manchester Craftsmen's Guild,Kid's Summer Meals - Manchester Craftsmen's Guild,Chateau,"1815 Metropolitan St, PA, 15233",40.45728,-80.032215,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 24 through August 2 - no requirements, just show up!",Mon - Fri; June 24 - August 2; Lunch: 11am - 1pm; Supper: 2pm - 3pm,Closed during date: 2019/07/04; 
4898,201911,Kids' Summer Meals - Project Destiny,Kid's Summer Meals - Project Destiny,Brighton Heights,"3737 Brighton Rd, PA, 15212",40.48407,-80.035975,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Breakfast: 9am - 10am; Lunch: noon - 2pm,Closed during date: 2019/07/04; 
4899,201911,Kids' Summer Meals - Wesley Center,Kid's Summer Meals - Wesley Center,Hill District,"2701 Centre Ave, PA, 15219",40.447414,-79.967529,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids Mondays through Thursdays starting June 24 through August 8 - no requirements, just show up!",Mon - Thu; June 24 - August 8; Breakfast: 9am - 10am; Lunch: noon - 2pm,Closed during date: 2019/07/04; 
4900,201911,Kids' Summer Meals - Salvation Army Westside,Kid's Summer Meals - Salvation Army - Westside,Fairywood,"1821 Broadhead Fording Rd, PA, 15205",40.450879,-80.079095,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 24 through July 26 - no requirements, just show up!",Mon - Fri; June 24 - July 26; Lunch: noon - 1pm; Supper: 3pm - 3:30pm,Closed during date: 2019/07/04; 
4901,201911,Kids' Summer Meals - Schenley Heights Community Development Program,Kid's Summer Meals - Schenley Heights Community Development Program,Upper Hill,"3171 Ewart Dr, PA, 15219",40.4487,-79.959537,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 24 through August 9 - no requirements, just show up!",Mon - Fri; June 24 - August 9; Breakfast: 8:30am - 9:30am; Lunch: noon - 2pm,Closed during date: 2019/07/04; 
4902,201911,Kids' Summer Meals - Salvation Army Homewood,Kid's Summer Meals - Salvation Army - Homewood,Homewood,"8020 Frankstown Ave, PA, 15221",40.455382,-79.883537,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting July 1 through July 26 - no requirements, just show up!",Mon - Fri; July 1 - July 26; Breakfast: 8:30am - 9am; Lunch: noon - 1pm,Closed during date: 2019/07/04; 
4903,201911,Kids' Summer Meals - (BJWL) Arlington Heights,Beverly Jewel Wall Lovelace Children's Program Arlington Heights,Arlington Heights,"3123 Cordell Place REAR, PA, 15210",40.4181044,-79.96303940000001,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Breakfast: 9:30am - 10:30am; Lunch: 12:30pm - 1:30pm,Closed during date: 2019/07/04; 
4904,201911,Kids' Summer Meals - (BJWL) Bedford Dwellings,Beverly Jewel Wall Lovelace Children's Program Bedford Dwellings,Hill District,"2275 Bedford Ave REAR, PA, 15219",40.4493748,-79.97605299999998,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting  June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Breakfast: 9:30am - 10:30am; Lunch: 12:30pm - 1:30pm,Closed during date: 2019/07/04; 
4905,201911,Kids' Summer Meals - Burgwin Spray Park,Burgwin Spray Park,Hazelwood,"Corner of Johnston Ave and Mansion St, PA, 15207",40.405072,-79.936933,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 26 through August 23 - no requirements, just show up!",Mon - Fri; June 26 - August 23; Lunch: 11:30am - 1:30pm; Supper: 2:30pm - 3:30pm,Closed during date: 2019/07/04; 
4906,201911,Kids' Summer Meals - Church of the Holy Cross,Church of the Holy Cross,Homewood,"7507 Kelly Street, PA, 15208",40.4546386,-79.8922351,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 24 through August 16 - no requirements, just show up!",Mon - Fri; June 24 - August 16; Breakfast: 8am - 9am; Lunch: noon - 1:30pm,Closed during date: 2019/07/04; 
4907,201911,Kids' Summer Meals - (BJWL) East Hills,Beverly Jewel Wall Lovelace Children's Program East Hills,East Hills,"2291 Wilner Drive, PA, 15221",40.4542292,-79.86989,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Breakfast: 9:30am - 10:30am; Lunch: 12:30pm - 1:30pm,Closed during date: 2019/07/04; 
4908,201911,Kids' Summer Meals - (BJWL) Hazelwood,Beverly Jewel Wall Lovelace Children's Program Hazelwood,Hazelwood,"895 Johnston Avenue, PA, 15207",40.4096021,-79.92625129999999,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting  June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Breakfast: 9:30am - 10:30am; Lunch: 12:30pm - 1:30pm,Closed during date: 2019/07/04; 
4909,201911,Kids' Summer Meals - (BJWL) Homewood North,Beverly Jewel Wall Lovelace Children's Program Homewood North,Homewood North,"10 Albertice Street, PA, 15208",40.45887399999999,-79.88660429999999,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting  June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Breakfast: 9:30am - 10:30am; Lunch: 12:30pm - 1:30pm,Closed during date: 2019/07/04; 
4910,201911,Kids' Summer Meals - (BJWL) Northview Heights,Beverly Jewel Wall Lovelace Children's Program Northview Heights,Northview Heights,"415 Mt. Pleasant Road, PA, 15214",40.48101429999999,-80.00219549999997,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Breakfast: 9:30am - 10:30am; Lunch: 12:30pm - 1:30pm,Closed during date: 2019/07/04; 
4911,201911,Kids' Summer Meals - New Hope Church,Kids' Summer Meals - New Hope Church,Northside/Marshall-Shadeland,"2710 Shadeland Avenue, PA, 15212",40.4696637,-80.03006579999999,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on Mondays through Thursdays starting July 1 through August 1 - no requirements, just show up!",Mon - Thu; July 1 - Aug 1; Lunch: noon - 1pm,Closed during date: 2019/07/04; 
4912,201911,Kids' Summer Meals - (BJWL) Oak Hill,Beverly Jewel Wall Lovelace Children's Program Oak Hill,Hill District,"480 Oak Hill Drive, PA, 15213",40.4427575,-79.9697218,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Breakfast: 9:30am - 10:30am; Lunch: 12:30pm - 1:30pm,Closed during date: 2019/07/04; 
4913,201911,Kids' Summer Meals - Allentown Learning and Engagement Center,Allentown Learning and Engagement Center,Allentown,"827 E Warrington Ave, PA, 15210",40.421898,-79.992683,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 8 - no requirements, just show up!",Mon - Fri; June 17 - August 8; Lunch: noon - 1pm; Supper: 3pm - 4pm,Closed during date: 2019/07/04; 
4914,201911,Kids' Summer Meals - Pamela Butler Babies,Pamela Butler Babies,Perry,"2823 Perrysville Ave, PA, 15214",40.474078,-80.010565,Summer Food Program,meals,,For kids 18 and under only (21 and under if disabled),412-244-3911,"Free summer meals for kids on weekdays starting June 17 through August 23 - no requirements, just show up!",Mon - Fri; June 17 - August 23; Breakfast - 8am - 9am; Lunch: 11am - 12:30pm,Closed during date: 2019/07/04; 
4915,201911,VA Pittsburgh Healthcare System - Oakland,VA Pittsburgh Healthcare System - University Drive Campus,Oakland,"4100 Allequippa St, PA, 15261",40.446676,-79.960089,VA Pittsburgh Healthcare System,health,Vets,"must meet VA eligibility requirements - get help with that under \Daytime Roof\"" Vets Place or from \""Experts & Events\"" Veterans Leadership Program""",412-360-6993,"For full information on VA healthcare at Pittsburgh facilities, go to <a href=\http://www.pittsburgh.va.gov/patients/index.asp\"">www.pittsburgh.va.gov</a>. The phone number below is the Admissions line for local health care eligibility information.   Vets Place (under \""Daytime Roof\"") can provide transportation to medical appointments.  Free Shuttle Van (see \""Free Transportation\"" under \""Activities and Events\"") stops at the Oakland facility.""",Admissions:; Mon - Fri:  8am - 4:30pm,
4916,201911,LGBT Persad Center,Persad Center,Lawrenceville,"5301 Butler St, STE 100, PA, 15201",40.48183,-79.953257,Persad Center,roof-daytime|pantries-supplies,all LGBTGIA in need,none,412-441-9786,"Showers, laundry and computers available on a walk-in basis.  Some toiletries and pantry (shelf-stable food) available.  Special LGBTQ Youth Drop-In Center with counselor available Tuesday and Thursday 3pm - 9pm for youth up to age 21.",Mon - Thurs:  9am - 9pm; Fri: 9am - 6pm,
4917,201911,LGBT Persad Center Mental Health Counseling,Persad Center,Lawrenceville,"5301 Butler St, STE 100, PA, 15201",40.48183,-79.953257,Persad Center,activities,LGBTQIA in need of counseling and mental health services,"sliding scale fees, but no one is turned away;  CALL AHEAD FOR AN APPOINTMENT",412-441-9786,Persad Center specializes in providing counseling and mental health services to LGBTQIA.   Programs and events for seniors and youth provided on a regular basis.,Mon - Thurs:  9am - 9pm; Fri: 9am - 6pm,
4918,201911,Produce to People - Homewood,Produce to People - Homewood,Homewood,"7430 Tioga Street, PA, 15208",40.452413,-79.8944305,Produce to People,pantries-supplies,all,"fill out a form (attesting to meeting guidelines), no additional papers needed",412-460-3663 x727,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.","2nd Saturday of every Month:  10am - noon; EXCEPT December 2019 is first Saturday, 12/7/19",
4919,201911,Produce to People - North Side,Produce to People - North Side,North Side,"50 Montgomery PL, PA, 15212",40.454307,-80.00513,Produce to People,pantries-supplies,all,"fill out a form (attesting to meeting guidelines), no additional papers needed",412-460-3663 x727,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.","3rd Saturday of the Month:  10am - noon; EXCEPT December 2019:  12/14/19, 10am - noon",
4920,201911,Produce to People - South Side,Produce to People - South Side,South Side,"2000 Mary Street, PA, 15203",40.425901,-79.977655,Produce to People,pantries-supplies,all,"fill out a form (attesting to meeting guidelines), no additional papers needed",412-460-3663,"30 - 50 pounds of food to each family. 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.  (In Fall, location moves to the Market House, 1 Bedford Square.)","July 27 - November 23, 2019; 4th Saturday of each month; 10am - noon; DECEMBER 2019:  12/21/19, 10am - noon",
4921,201911,Isiah's Kitchen,Isiah's Kitchen,Garfield,"601 N Aiken Ave, PA, 15206",40.470828,-79.932677,Valley View Presbyterian Church,pantries-supplies,all,"state ID only, and fill out form and sign, no other papers required.",,Canned and boxed goods.,"First Saturday of the month:  9am - noon; (in case of bad snow, will be pushed to following Saturday)",
4922,201911,Homewood Brushton YMCA Food Pantry,Homewood Food Pantry,Homewood,"7140 Bennett St, PA, 15208",40.456764,-79.898148,Homewood-Brushton YMCA,pantries-supplies,all,"you will be asked for ID, no income or zip code requirement",,Canned and boxed goods.  Pet food also available.,2nd & 4th Tues of the month:  11am; (until everything is gone),
4923,201911,Welcome Little One,Welcome Little One,Downtown,"239 4th Ave STE 420, PA, 15222",40.439559,-80.001769,Welcome Little One,pantries-supplies,all in need,"for babies birth to one, no ID requirement, but fill out form",412-391-6862,"Diapers, baby clothes, baby food provided for free.  Cribs sometimes available.  Call for appointment.",call for appointment,
4924,201911,UPMC Family Care Connection - Lawrenceville,UPMC Family Care Connection,Lawrenceville,"5235 Butler Street, PA, 15201",40.481165,-79.95401,UPMC Family Care Connection - Lawrenceville,pantries-supplies,Birth - 5 years,Photo ID for emergency diapers,412-784-8683,"Call first.  Mostly for clients of the center, but can provide one-time emergency help. They don't always have all sizes of diapers.",Mon - Sun: 8:30am - 5pm,
4925,201911,Jewish Family and Children's Services - emergency diapers,Refugee/Immigrant Services,Squirrel Hill,"5743 Bartlett Street, PA, 15217",40.436261,-79.923848,Jewish Family & Community Services (JFCS),pantries-supplies,families,Photo ID for emergency diapers,412-422-7200,"Call first.  If you need services beyond one-time emergency help, an application needs to be completed.  Closed during all Federal and Jewish holidays.",,
4926,201911,Sunday Lunch - Mission From Mars,Mission from Mars - Free Sunday Lunch,North Side,"50 Montgomery Place, PA, 15212",40.455455,-80.005817,Mission from Mars,meals,all,None,724-612-1133,"Free Sunday Lunch every week, rain or shine,  served on tables in Allegheny Commons Park (across from Light of Life Mission, but not affiliated with them).",Sun: 11:30am - 1:00pm,
4927,201911,Emergency Pantry,Greater Pittsburgh Community Food Bank,Duquesne,"1 North Linden Street, PA, 15110",40.375323,-79.841787,Greater Pittsburgh Community Food Bank,pantries-supplies,Emergency - but a person has to get to the food bank location,None,412-460-3663,"For emergencies.  The Greater Pittsburgh Community Food Bank supplies food pantries in the region, but maintain some food for emergency pickup at their location.","Normal business hours, Mon - Fri, 8am - 4:30 pm",
4928,201911,Produce to People - Duquesne,Greater Pittsburgh Community Food Bank,Duquesne,"1 North Linden Street, PA, 15110",40.375323,-79.841787,Greater Pittsburgh Community Food Bank,pantries-supplies,All in need,"fill out a form (attesting to meeting guidelines), no additional papers needed",,"1 North Linden Street, left of main entrance of Greater Pittsburgh Community Food Bank; 30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.",Second Thursday of each month; 5:30 - 7pm,
4929,201911,Produce to People - Natrona Heights,Produce to People - Natrona Heights,Natrona Heights,"1526 Union Avenue, PA, 15065",40.620916,-79.727317,Greater Pittsburgh Community Food Bank,meals-foodpantries,all,"fill out a form (attesting to meeting guidelines), no additional papers needed",724-226-0606 X 18,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.","Tuesday 7/16, 5:30pm - 7:00pm; Tuesday 8/13, 5:30pm - 7:00pm ; Tuesday 9/10/19, 5:30pm - 7:00pm ; Tuesday 10/8/19, 5:30 - 7:00pm",
4930,201911,Produce to People - Tarentum,Produce to People - Tarentum,Tarentum,"210 East 4th Avenue, PA, 15084",40.600638,-79.754364,Greater Pittsburgh Community Food Bank,meals-foodpantries,All,"fill out a form (attesting to meeting guidelines), no additional papers needed",724-226-0606 X 18,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.","Tuesday 11/12/19, 5:30pm - 7:00pm ; Tuesday 12/10/19, 5:30pm - 7:00pm",
4931,201911,Produce to People - Sheraden,Produce to People - Sheraden,Sheraden,"2940 Sheraden Boulevard, PA, 15204",40.454647,-80.054092,Greater Pittsburgh Community Food Bank,pantries-supplies,all in need,"fill out a form (attesting to meeting guidelines), no additional papers needed",412-460-3663 x727,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.","JULY 2019 only:  July 11, 5:30 - 7:00pm ; ; 1st Thursday of every month: 5:30pm - 7:00 pm",
4932,201911,Produce to People - Braddock,Produce to People - Braddock,Braddock,"845 Talbot Avenue, PA, 15104",40.399199,-79.86653,Greater Pittsburgh Community Food Bank,pantries-supplies,all in need,"fill out a form (attesting to meeting guidelines), no additional papers needed",412-460-3663 x727,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.",10:00 am - noon ; First Saturday of every month,
4933,201911,Produce to People - McKeesport,Produce to People - McKeesport,McKeesport,"1960 Eden Park Blvd., PA, 15132",40.346297,-79.832591,Greater Pittsburgh Community Food Bank,pantries-supplies,all in need,"fill out a form (attesting to meeting guidelines), no additional papers needed",412-460-3663 X 727,"30 - 50 pounds of food to each family, 3 out of 4 items are fresh (in season).  Bring your own bags.  You may go to as many Produce to People distributions as you like and still attend your regular pantry.",3rd Saturday of every month: 10:00am - noon,
4934,201911,IOTAS (It's OK to Ask Someone) Texting Line,IOTAS (It's OK to Ask Someone) - Text 412-424-6827 - Planned Parenthood,Downtown,"933 Liberty Avenue, PA, 15222",40.443318,-79.996729,Planned Parenthood of Western PA,health,"Young people with questions about sexuality, STDs, reproductive health, pregnancy, relationships",TEXT ONLY to 412-424-6827 - responds within 24 hours,,"Planned Parenthood text service for young people with questions about sexuality, STDs, pregnancy, relationships. Text questions to 412-424-6827, response will come within 24 hours.",,
4935,201911,Planned Parenthood - Family Planning Services,Pittsburgh Family Planning Center (PPWP),Downtown,"933 Liberty Avenue, PA, 15222",40.443375,-79.996643,Planned Parenthood of Western PA,health,All,MUST CALL FOR APPOINTMENT. All services are free for anyone under 18. No-cost and low-cost options available for those over 18 (nobody is turned away).,412-434-8971,"Offers a wide range of reproductive/sexual health services including gynecological care, birth control, pregnancy testing, options counseling, colposcopy and cryotherapy, pelvic and breast exams, and treatment for STI's. Can be connected to abortion services (412-562-1900 for direct line).  Pittsburgh, Moon and Bridgeville locations.",Hours to call (hours vary slightly for abortion services):; ; Tues - Wed: 8:45am - 3:30pm; Thur: 11:30am - 6:30pm (Family Planning Services only); Fri: 9:30am - 3:30pm; Sat: 8:45am - 3:30pm,
